stage LM SC BA SP CP
0 0.332987026825433 0.334025946349134 0.332987026825433 0 0
1 0.490940533019407 0.250414301308298 0.258645165672295 0 0
2 0.434882150392456 0.229229248506434 0.247437769838291 0.0123928550713133 0.0760579761915061
3 0.418073491621049 0.271058875518528 0.277201161792556 0.0200130826197185 0.0136533884481486
4 0.485845029869437 0.185142235769108 0.219065651641199 0.0488476995297159 0.0610993831905405
5 0.412659142112171 0.219910317670953 0.253407051604843 0.0540402017725938 0.0599832868394385
6 0.448492723096534 0.0861920572320588 0.196987922130841 0.15638283224465 0.111944465295916
7 0.358533067863226 0.142701609388018 0.233141052804729 0.143792354537562 0.121831915406465
8 0.341781349581915 0.0400574911048183 0.205792130076225 0.254401029371099 0.157967999865942
9 0.273987257641298 0.0858654235109523 0.232338544612054 0.241180372693902 0.166628401541793
10 0.24051223269874 0.077190123963244 0.235449716507632 0.27162664448055 0.175221282349834
11 0.192490816586431 0.0396272668843964 0.232567016404337 0.330935159823035 0.204379740301801
12 0.155067938532427 0.0576589774226663 0.237689112899179 0.333529776588417 0.216054194557312
13 0.125756340525266 0.045890158565519 0.238633401465379 0.34904037615233 0.240679723291506
14 0.0940513517235685 0.0677693149005682 0.238837554768253 0.346339785343979 0.253001993263631
15 0.074321604189376 0.0710850038882203 0.235088226672386 0.34815947922045 0.271345686029568
16 0.0540144613641104 0.096981809880519 0.232547352827972 0.342128869608695 0.274327506318703
17 0.0401461255679801 0.0931342820427072 0.233024620497768 0.342355195697551 0.291339776193994
18 0.0270319569518404 0.107227857869669 0.227984741242946 0.335776418987603 0.301979024947941
19 0.00573356668225774 0.131822335506623 0.216320697145205 0.315990882556591 0.330132518109323
