||| WHITE | 20000 ||
WHITE: 0 {(Name: LegalMoves, Weight: 0.7060209534559562), (Name: Stone Count, Weight: 0.055269253444462714), (Name: SidePieces, Weight: 0.055269253444462714), (Name: CornerPieces, Weight: 0.055269253444462714), (Name: BlockedAdjacent, Weight: 0.1281712862106556), }
WHITE: 1 {(Name: LegalMoves, Weight: 0.47622545524353427), (Name: Stone Count, Weight: 0.4773831824417684), (Name: SidePieces, Weight: 2.2897903493001104E-7), (Name: CornerPieces, Weight: 2.2897903493001104E-7), (Name: BlockedAdjacent, Weight: 0.04639090435662766), }
WHITE: 2 {(Name: LegalMoves, Weight: 0.8632846098279383), (Name: Stone Count, Weight: 0.0023809844188538852), (Name: SidePieces, Weight: 0.0023809844188538852), (Name: CornerPieces, Weight: 0.0023809844188538852), (Name: BlockedAdjacent, Weight: 0.12957243691549988), }
WHITE: 3 {(Name: LegalMoves, Weight: 0.5669436829960876), (Name: Stone Count, Weight: 0.3608466600746028), (Name: SidePieces, Weight: 4.7339611773899515E-11), (Name: CornerPieces, Weight: 4.7339611773899515E-11), (Name: BlockedAdjacent, Weight: 0.07220965683463036), }
WHITE: 4 {(Name: LegalMoves, Weight: 0.7999256699730851), (Name: Stone Count, Weight: 0.1270778146527835), (Name: SidePieces, Weight: 1.2493378571159601E-5), (Name: CornerPieces, Weight: 1.2493378571159601E-5), (Name: BlockedAdjacent, Weight: 0.07297152861698906), }
WHITE: 5 {(Name: LegalMoves, Weight: 0.6444781970655831), (Name: Stone Count, Weight: 0.3085403169971164), (Name: SidePieces, Weight: 6.604613899834605E-11), (Name: CornerPieces, Weight: 6.604613899834605E-11), (Name: BlockedAdjacent, Weight: 0.04698148580520815), }
WHITE: 6 {(Name: LegalMoves, Weight: 0.8095502552295009), (Name: Stone Count, Weight: 0.11645366950819366), (Name: SidePieces, Weight: 6.726297875376143E-7), (Name: CornerPieces, Weight: 6.726297875376143E-7), (Name: BlockedAdjacent, Weight: 0.07399473000273057), }
WHITE: 7 {(Name: LegalMoves, Weight: 0.701404316100944), (Name: Stone Count, Weight: 0.2413075886296974), (Name: SidePieces, Weight: 7.027813830858098E-9), (Name: CornerPieces, Weight: 6.691221039763289E-10), (Name: BlockedAdjacent, Weight: 0.05728808757242282), }
WHITE: 8 {(Name: LegalMoves, Weight: 0.8523013552009626), (Name: Stone Count, Weight: 0.0970064866781006), (Name: SidePieces, Weight: 2.8414812142959375E-7), (Name: CornerPieces, Weight: 1.8160313277040796E-8), (Name: BlockedAdjacent, Weight: 0.05069185581250211), }
WHITE: 9 {(Name: LegalMoves, Weight: 0.7339337531258795), (Name: Stone Count, Weight: 0.21096881832102507), (Name: SidePieces, Weight: 4.6699641382765526E-4), (Name: CornerPieces, Weight: 5.214986761246885E-4), (Name: BlockedAdjacent, Weight: 0.054108933463143036), }
WHITE: 10 {(Name: LegalMoves, Weight: 0.8390337958957379), (Name: Stone Count, Weight: 0.10509883187557352), (Name: SidePieces, Weight: 6.670253638084204E-4), (Name: CornerPieces, Weight: 3.694044467186369E-8), (Name: BlockedAdjacent, Weight: 0.05520030992443556), }
WHITE: 11 {(Name: LegalMoves, Weight: 0.7436515086149047), (Name: Stone Count, Weight: 0.19192443277515847), (Name: SidePieces, Weight: 3.3223578629191434E-4), (Name: CornerPieces, Weight: 0.001712551144332074), (Name: BlockedAdjacent, Weight: 0.0623792716793128), }
WHITE: 12 {(Name: LegalMoves, Weight: 0.8259843715885165), (Name: Stone Count, Weight: 0.11630159238223188), (Name: SidePieces, Weight: 9.166289407361078E-4), (Name: CornerPieces, Weight: 6.990289443342424E-4), (Name: BlockedAdjacent, Weight: 0.05609837814418136), }
WHITE: 13 {(Name: LegalMoves, Weight: 0.7234130654360609), (Name: Stone Count, Weight: 0.19450880611406982), (Name: SidePieces, Weight: 0.0033745168039758153), (Name: CornerPieces, Weight: 0.010071432438978685), (Name: BlockedAdjacent, Weight: 0.06863217920691476), }
WHITE: 14 {(Name: LegalMoves, Weight: 0.8086984418607199), (Name: Stone Count, Weight: 0.11687942383525621), (Name: SidePieces, Weight: 0.005046081533239163), (Name: CornerPieces, Weight: 1.366204892118906E-4), (Name: BlockedAdjacent, Weight: 0.06923943228157278), }
WHITE: 15 {(Name: LegalMoves, Weight: 0.7167287002775916), (Name: Stone Count, Weight: 0.1959134602697207), (Name: SidePieces, Weight: 0.0063188009689651445), (Name: CornerPieces, Weight: 0.007340033607609962), (Name: BlockedAdjacent, Weight: 0.07369900487611276), }
WHITE: 16 {(Name: LegalMoves, Weight: 0.8041301595947721), (Name: Stone Count, Weight: 0.12005479571616198), (Name: SidePieces, Weight: 0.005671241170663771), (Name: CornerPieces, Weight: 0.002031006181368654), (Name: BlockedAdjacent, Weight: 0.06811279733703354), }
