WHITE: 0 {(Name: LegalMoves, Weight: 0.6734104326642983), (Name: Stone Count, Weight: 0.06724585746079), (Name: SidePieces, Weight: 0.06724585746079), (Name: CornerPieces, Weight: 0.06724585746079), (Name: BlockedAdjacent, Weight: 0.12485199495333181), }
WHITE: 1 {(Name: LegalMoves, Weight: 0.4595006839136242), (Name: Stone Count, Weight: 0.4554402898806673), (Name: SidePieces, Weight: 4.7429352972850193E-4), (Name: CornerPieces, Weight: 4.7429352972850193E-4), (Name: BlockedAdjacent, Weight: 0.08411043914625131), }
WHITE: 2 {(Name: LegalMoves, Weight: 0.8251589139540431), (Name: Stone Count, Weight: 0.010764031141022125), (Name: SidePieces, Weight: 0.010764031141022125), (Name: CornerPieces, Weight: 0.010764031141022125), (Name: BlockedAdjacent, Weight: 0.1425489926228907), }
WHITE: 3 {(Name: LegalMoves, Weight: 0.567517814498596), (Name: Stone Count, Weight: 0.37378720987994896), (Name: SidePieces, Weight: 1.1413990288124512E-4), (Name: CornerPieces, Weight: 1.1413990288124512E-4), (Name: BlockedAdjacent, Weight: 0.05846669581569261), }
WHITE: 4 {(Name: LegalMoves, Weight: 0.888660295141409), (Name: Stone Count, Weight: 0.0280129237227938), (Name: SidePieces, Weight: 6.482925816116482E-4), (Name: CornerPieces, Weight: 6.482925816116482E-4), (Name: BlockedAdjacent, Weight: 0.0820301959725739), }
WHITE: 5 {(Name: LegalMoves, Weight: 0.6749775108860587), (Name: Stone Count, Weight: 0.2616555643650068), (Name: SidePieces, Weight: 5.896191908381656E-5), (Name: CornerPieces, Weight: 5.896191908381656E-5), (Name: BlockedAdjacent, Weight: 0.06324900091076684), }
WHITE: 6 {(Name: LegalMoves, Weight: 0.8715305824918571), (Name: Stone Count, Weight: 0.024814464600300068), (Name: SidePieces, Weight: 8.482233248796875E-5), (Name: CornerPieces, Weight: 8.482233248796875E-5), (Name: BlockedAdjacent, Weight: 0.10348530824286671), }
WHITE: 7 {(Name: LegalMoves, Weight: 0.7309669507726594), (Name: Stone Count, Weight: 0.2126762837654068), (Name: SidePieces, Weight: 0.0015149157920943484), (Name: CornerPieces, Weight: 1.4423598384212844E-4), (Name: BlockedAdjacent, Weight: 0.054697613685997404), }
WHITE: 8 {(Name: LegalMoves, Weight: 0.8627489314928346), (Name: Stone Count, Weight: 0.06299134362213725), (Name: SidePieces, Weight: 0.002196163140436117), (Name: CornerPieces, Weight: 1.403599307190639E-4), (Name: BlockedAdjacent, Weight: 0.07192320181387302), }
WHITE: 9 {(Name: LegalMoves, Weight: 0.7324261871773026), (Name: Stone Count, Weight: 0.17606562175928825), (Name: SidePieces, Weight: 0.003419706580236079), (Name: CornerPieces, Weight: 0.0036097680272553522), (Name: BlockedAdjacent, Weight: 0.08447871645591791), }
WHITE: 10 {(Name: LegalMoves, Weight: 0.8472972799332771), (Name: Stone Count, Weight: 0.07144641644188734), (Name: SidePieces, Weight: 0.0026498512740097324), (Name: CornerPieces, Weight: 0.0029295154574375693), (Name: BlockedAdjacent, Weight: 0.07567693689338835), }
